1.5051 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
6.4791 	EXP 	text_2: text = 0
6.4832 	EXP 	text_2: height = 0.05
6.4832 	EXP 	text_2: height = 0.05
6.4832 	EXP 	text_2: height = 0.05
6.4832 	EXP 	text_2: text = 0
6.4874 	EXP 	text_2: height = 0.05
6.4874 	EXP 	text_2: height = 0.05
6.4874 	EXP 	text_2: height = 0.05
6.4874 	EXP 	text_2: text = 0
6.4916 	EXP 	text_2: height = 0.05
6.4916 	EXP 	text_2: height = 0.05
6.4916 	EXP 	text_2: height = 0.05
6.4916 	EXP 	text_2: text = 0
6.4967 	EXP 	text_2: height = 0.05
6.4967 	EXP 	text_2: height = 0.05
6.4967 	EXP 	text_2: height = 0.05
6.4967 	EXP 	text_2: text = 0
6.4999 	EXP 	text_2: height = 0.05
6.4999 	EXP 	text_2: height = 0.05
6.4999 	EXP 	text_2: height = 0.05
6.4999 	EXP 	text_2: text = 0
6.5041 	EXP 	text_2: height = 0.05
6.5041 	EXP 	text_2: height = 0.05
6.5041 	EXP 	text_2: height = 0.05
6.5041 	EXP 	text_2: text = 0
6.5083 	EXP 	text_2: height = 0.05
6.5083 	EXP 	text_2: height = 0.05
6.5083 	EXP 	text_2: height = 0.05
6.5083 	EXP 	text_2: text = 0
6.5124 	EXP 	text_2: height = 0.05
6.5124 	EXP 	text_2: height = 0.05
6.5124 	EXP 	text_2: height = 0.05
6.5124 	EXP 	text_2: text = 0
6.5166 	EXP 	text_2: height = 0.05
6.5166 	EXP 	text_2: height = 0.05
6.5166 	EXP 	text_2: height = 0.05
6.5166 	EXP 	text_2: text = 0
6.5208 	EXP 	text_2: height = 0.05
6.5208 	EXP 	text_2: height = 0.05
6.5208 	EXP 	text_2: height = 0.05
6.5208 	EXP 	text_2: text = 0
6.5250 	EXP 	text_2: height = 0.05
6.5250 	EXP 	text_2: height = 0.05
6.5250 	EXP 	text_2: height = 0.05
6.5250 	EXP 	text_2: text = 0
6.5291 	EXP 	text_2: height = 0.05
6.5291 	EXP 	text_2: height = 0.05
6.5291 	EXP 	text_2: height = 0.05
6.5291 	EXP 	text_2: text = 0
6.5333 	EXP 	text_2: height = 0.05
6.5333 	EXP 	text_2: height = 0.05
6.5333 	EXP 	text_2: height = 0.05
6.5333 	EXP 	text_2: text = 0
6.5375 	EXP 	text_2: height = 0.05
6.5375 	EXP 	text_2: height = 0.05
6.5375 	EXP 	text_2: height = 0.05
6.5375 	EXP 	text_2: text = 0
6.5417 	EXP 	text_2: height = 0.05
6.5417 	EXP 	text_2: height = 0.05
6.5417 	EXP 	text_2: height = 0.05
6.5417 	EXP 	text_2: text = 0
6.5458 	EXP 	text_2: height = 0.05
6.5458 	EXP 	text_2: height = 0.05
6.5458 	EXP 	text_2: height = 0.05
6.5458 	EXP 	text_2: text = 0
6.5500 	EXP 	text_2: height = 0.05
6.5500 	EXP 	text_2: height = 0.05
6.5500 	EXP 	text_2: height = 0.05
6.5500 	EXP 	text_2: text = 0
6.5542 	EXP 	text_2: height = 0.05
6.5542 	EXP 	text_2: height = 0.05
6.5542 	EXP 	text_2: height = 0.05
6.5542 	EXP 	text_2: text = 0
6.5584 	EXP 	text_2: height = 0.05
6.5584 	EXP 	text_2: height = 0.05
6.5584 	EXP 	text_2: height = 0.05
6.5584 	EXP 	text_2: text = 0
6.5625 	EXP 	text_2: height = 0.05
6.5625 	EXP 	text_2: height = 0.05
6.5625 	EXP 	text_2: height = 0.05
6.5625 	EXP 	text_2: text = 0
6.5667 	EXP 	text_2: height = 0.05
6.5667 	EXP 	text_2: height = 0.05
6.5667 	EXP 	text_2: height = 0.05
6.5667 	EXP 	text_2: text = 0
6.5709 	EXP 	text_2: height = 0.05
6.5709 	EXP 	text_2: height = 0.05
6.5709 	EXP 	text_2: height = 0.05
6.5709 	EXP 	text_2: text = 0
6.5751 	EXP 	text_2: height = 0.05
6.5751 	EXP 	text_2: height = 0.05
6.5751 	EXP 	text_2: height = 0.05
6.5751 	EXP 	text_2: text = 0
